Product_ID,Product_Category_Name,Product_Weight_Gr,Product_Length_Cm,Product_Height_Cm,Product_Width_Cm
00066f42aeeb9f3007548bb9d3f33c38,Perfumery,300,20,16,16
00088930e925c41fd95ebfe695fd2655,Auto,1225,55,10,26
0009406fd7479715e4bef61dd91f2462,Bed_Bath_Table,300,45,15,35
000b8f95fcb9e0096488278317764d19,Housewares,550,19,24,12
000d9be29b5207b54e86aa1b1ac54872,Watches_Gifts,250,22,11,15
0011c512eb256aa0dbbb544d8dffcf6e,Auto,100,16,15,16
00126f27c813603687e6ce486d909d01,Cool_Stuff,700,25,5,15
001795ec6f1b187d37335e1c4704762e,Consoles_Games,600,30,20,20
001b237c0e9bb435f2e54071129237e9,Bed_Bath_Table,6000,40,4,30
001b72dfd63e9833e8c02742adf472e3,Furniture_Decor,600,26,8,22
001c5d71ac6ad696d22315953758fa04,Bed_Bath_Table,1800,47,21,41
00210e41887c2a8ef9f791ebc780cc36,Health_Beauty,300,30,15,15
002159fe700ed3521f46cfcf6e941c76,Fashion_Shoes,1850,36,37,16
0021a87d4997a48b6cef1665602be0f5,Computers_Accessories,650,25,10,15
00250175f79f584c14ab5cecd80553cd,Housewares,750,30,5,35
002552c0663708129c0019cc97552d7d,Cool_Stuff,355,22,16,12
002959d7a0b0990fe2d69988affcbc80,Furniture_Decor,2600,105,3,70
002af88741ba70c7b5cf4e4a0ad7ef85,Cool_Stuff,600,40,30,40
002c6dab60557c48cfd6c2222ef7fd76,Toys,350,45,30,30
002d4ea7c04739c130bb74d7e7cd1694,Pet_Shop,200,20,11,11
002ec297b1b00fb9dde7ee6ac24b6771,Housewares,150,20,10,15
0030026a6ddb3b2d1d4bc225b4b4c4da,Sports_Leisure,800,25,25,25
0030e635639c898b323826589761cf23,Garden_Tools,1550,26,6,20
003128f981470c3e5a2e7445e4a771cd,Sports_Leisure,1550,16,10,16
0036bb031e69d915cd384d1b3838b5d3,Garden_Tools,200,18,5,13
003938452c98ff9ab28e9e7b4bfe97ab,Furniture_Living_Room,5050,50,8,50
003962cb74a8b43cf1034fed541a76f0,Luggage_Accessories,1000,16,46,36
003a31970fea14fffe92ac856b8a9b97,Home_Construction,1850,45,12,45
003c0b8f6580c850bd2e32044d2ac307,Kitchen_Dining_Laundry_Garden_Furniture,21100,100,20,60
003dbcabcf8e3231de657c7d9f9a5eba,Sports_Leisure,1800,30,22,22
004154251837f6ac124ad4374b3a8148,Furniture_Decor,150,35,2,25
0042f1a9a7e0edd1400c6cd0fda065f8,Health_Beauty,175,23,11,13
0043c62d00db47eff6a6bc4cf6bfaeda,Sports_Leisure,380,18,12,14
0043d1a25ef08fb6f41b8fa6f91742ab,Construction_Tools_Construction,20400,30,30,30
0044d70d4e53450c0fbb8255446a797b,Sports_Leisure,200,20,18,18
004552d98c5d3653af8b4dbe8def0048,Furniture_Decor,900,100,11,12
004636c889c7c3dad6631f136b7fa082,Housewares,550,30,10,25
004ffcbfa5aac82212a95bc972ea8a85,Furniture_Bedroom,10000,65,35,35
005030ef108f58b46b78116f754d8d38,Perfumery,50,16,5,11
005c6b24cc96dca3e2c01e824401030e,Fashion_Male_Clothing,400,17,7,20
0060b415594c5e1200324ef1a18493c4,Sports_Leisure,1200,20,20,20
00636f9286f69c9f1bdabe76e670fb50,Furniture_Decor,500,25,2,17
006508eabcc19ae52ed87323124ad0e9,Construction_Tools_Safety,246,22,15,19
006619bbed68b000c8ba3f8725d5409e,Health_Beauty,150,16,7,15
0067f97995b0c3a86739734dc87ee6b6,Fashion_Bags_Accessories,200,16,2,11
006baa9a5b8f95895f15273a35bc2664,Sports_Leisure,950,60,15,15
006c67546bfe73c33b83f6bd1ad58c36,Auto,4550,47,19,23
00716e5593e8eea55dbe7a29b72a70bc,Diapers_And_Hygiene,250,20,20,20
00738f5a17ec4450e88915357b085c1e,Toys,600,17,15,22
0075c14603d80515e20908c156ceb47b,Sports_Leisure,150,16,18,16
007c63ae4b346920756b5adcad8095de,Housewares,2800,30,30,30
0081787b18cce4acc2d1adec4520d7ba,Construction_Tools_Safety,1340,32,14,27
0082684bb4a60a862baaf7a60a5845ed,NULL,500,24,4,15
0085dddda27567189f1dfd1eda7c286e,Bed_Bath_Table,1800,40,8,30
008686d56f4c85b987a4c24a286834c1,Bed_Bath_Table,2200,37,10,32
00878d953636afec00d3e85d55a12e7f,Health_Beauty,2550,38,42,25
008b0ec3de3638637099f97add750136,Health_Beauty,690,17,17,13
008b51e6be49ee039854b5e35c331b02,Watches_Gifts,633,19,12,17
008cff0e5792219fae03e570f980b330,Sports_Leisure,1550,40,20,20
00905d58c87afcbce21420b3712cacaa,Bed_Bath_Table,3875,46,12,43
00917855135d67fb060dcd81863166a4,Computers_Accessories,1133,16,16,11
0091d85023824de2d33252310c952307,Housewares,450,16,24,11
00929aaa7751a77220db9caa1ae6d3ab,Housewares,2800,50,35,15
0092a9e1c8a471753ed7ffa7eef5086e,Health_Beauty,350,16,16,16
00989337a1916a0055eedd1fdb35eb53,Furniture_Decor,800,40,5,11
009af1277432f1a05742df69cdf72d1e,Toys,700,20,35,20
009c09f439988bc06a93d6b8186dce73,Perfumery,150,20,20,20
009df2b0bc078648fc4f5898de8cabff,Auto,23250,50,20,20
00a0db09dc7c94d512ec51900141ed69,Computers_Accessories,400,23,7,15
00a8c742ae1da97e9064205459977e6c,Computers_Accessories,150,16,23,13
00a985c524adbb97a4211e4ce17aabec,Telephony,250,17,4,12
00aa70fd749f3b9ce8ca4bc914a9e7b1,Furniture_Decor,700,16,16,16
00ab8a8b9fe219511dc3f178c6d79698,NULL,2100,50,30,30
00ae7076313576f94d9107599d79a978,Sports_Leisure,600,22,33,16
00b264091d1c8df03976c3f3b176b35c,Auto,250,16,16,16
00b4155166f994ba9da3cf001eb80505,Housewares,1125,28,15,23
00b782074a5ec523bf31951b4935d572,Telephony,250,16,5,11
00ba6d766f0b1d7b78a5ce3e1e033263,Housewares,7850,28,62,28
00baba5b58e274d0332a0c8a0a66f877,Perfumery,200,18,7,12
00bb62ea3729537a687c3fddcd123662,Auto,12100,60,60,20
00bc6e6d4ceb98ec7ed058b0a243a8b9,Christmas_Supplies,200,16,11,11
00be617b58175bf207fd35910d5097a4,Bed_Bath_Table,900,45,15,35
00c1e6d55fe174bfbb179257255e49bb,Cool_Stuff,187,17,13,14
00c3e35b00dd00ab864d4a94c1b97e66,Perfumery,512,30,12,18
00c407e056c74eb8040a1233ca6da16f,Stationery,650,35,15,28
00c744ca2f3b0e76ce227b146095d3f9,Toys,350,17,15,17
00c794371af4dc7c5b6ba3ef913556bb,Fixed_Telephony,150,16,4,13
00cc15e0cef551848c797ab75ba904b1,Watches_Gifts,300,19,10,15
00cf06147ed4880ec5fbba2adbb20e1d,Books_General_Interest,350,24,5,17
00d2add85b1f5aba6bb3d5d977314e25,Home_Construction,9050,56,26,28
00d2fa6f2a87633084c8e0400d41a65a,Bed_Bath_Table,18550,54,35,45
00d363b8c14bb9a6c73febc4c42acf47,Consoles_Games,200,16,16,11
00d51a45854ebce28acda79f414388ee,Housewares,225,16,4,14
00d62b338366db4c4aec8547ea8f928e,NULL,400,24,4,15
00d62d0388b0786d730a1aaed91c0ae0,Furniture_Decor,300,16,30,20
00d93a09990b319a7c946ed7a8c67656,Furniture_Decor,3400,42,16,26
00dc8a1b2de45a7fca5921544e5f351d,Computers_Accessories,1550,42,17,17
00ddaddbe03b7103d80daee96892363f,Telephony,200,19,4,11
00de606a5dda99c2499f94ef18282977,Auto,1650,60,8,33
00de7f393d962717eeeb2d7131a40dba,Telephony,300,16,5,12
00df6fc5f33cc3f7ceec4ec6337d9cd7,Watches_Gifts,500,20,15,17
00e040fed5fb843e28740181ddca3521,Telephony,400,17,4,12
